contig;genome
CP022722.1;i46
NHMU01000001.1;i48
NHMU01000002.1;i48
NHMU01000003.1;i48
NHMU01000004.1;i48
NHMU01000005.1;i48
NHMU01000006.1;i48
NHMU01000007.1;i48
NHMU01000008.1;i48
NHMU01000009.1;i48
NHMU01000010.1;i48
NHMU01000011.1;i48
NHMU01000012.1;i48
NHMU01000013.1;i48
NHMU01000014.1;i48
NHMU01000015.1;i48
NHMU01000016.1;i48
NHMU01000017.1;i48
NHMU01000018.1;i48
NHMU01000019.1;i48
NHMT01000001.1;i49
NHMT01000002.1;i49
NHMT01000003.1;i49
CP021422.1;kb18
CP022712.1;kb1
CP021421.1;yl27
NHMR02000001.1;yl2
NHMR02000002.1;yl2
NHMQ01000001.1;yl31
NHMQ01000002.1;yl31
NHMQ01000003.1;yl31
NHMQ01000004.1;yl31
NHMQ01000005.1;yl31
NHTR01000001.1;yl32
NHTR01000002.1;yl32
NHTR01000003.1;yl32
NHTR01000004.1;yl32
NHTR01000005.1;yl32
NHTR01000006.1;yl32
NHTR01000007.1;yl32
NHTR01000008.1;yl32
NHTR01000009.1;yl32
NHTR01000010.1;yl32
NHTR01000011.1;yl32
NHTR01000012.1;yl32
NHTR01000013.1;yl32
NHTR01000014.1;yl32
NHTR01000015.1;yl32
NHTR01000016.1;yl32
CP021420.1;yl44
NHMP01000001.1;yl45
NHMP01000002.1;yl45
NHMP01000003.1;yl45
NHMP01000004.1;yl45
NHMP01000005.1;yl45
NHMP01000006.1;yl45
NHMP01000007.1;yl45
NHMP01000008.1;yl45
NHMP01000009.1;yl45
NHMP01000010.1;yl45
NHMP01000011.1;yl45
NHMP01000012.1;yl45
NHMP01000013.1;yl45
NHMP01000014.1;yl45
NHMP01000015.1;yl45
NHMP01000016.1;yl45
NHMP01000017.1;yl45
NHMP01000018.1;yl45
NHMP01000019.1;yl45
NHMP01000020.1;yl45
CP022713.1;yl58
